,Product_name,Original_price,Offer_price,Offer_percentage,Extra_offer,Shades_and_sizes,Featured_product,Best_seller_product
2191,Mamaearth Rose Body Lotion - Pack Of 2,798,622,22,Get Free Product,Not available,Not available,Not available
2192,Bath & Body Works Dream Bright Travel Size Ultimate Hydratio...,Not available,999,Not available,Buy 2 Get 1 Free,Not available,Not available,Not available
2193,Azah Period Panties For Women - Size Small,849,560,34,Not available,Not available,Not available,Not available
2194,FURR Body Shaving Razor| with Aloe Vera & Vitamin E Padding ...,299,249,17,Not available,Not available,Not available,Not available
2195,MyGlamm WIPEOUT Germ Killing Hand Cream,149,119,20,Enjoy Free Gift,Not available,Not available,Not available
2196,Arata Hydrating Bath & Body Combo Nourishing Body Wash + Moi...,999,500,50,Not available,Not available,Not available,Not available
2197,Victoria's Secret Aqua Kiss Fragrance Lotion,Not available,2499,Not available,Offer Available,Not available,Not available,Not available
2198,The Body Shop Long Handled Cactus Bath Brush,1395,1116,20,Not available,Not available,Not available,Not available
2199,Palmolive Hydrating Foaming Lime & Mint Liquid Hand Wash wit...,320,288,10,Not available,Not available,Not available,Not available
2200,Vaseline Cocoa Glow Lotion With Rosy Lip Tin For Glowing Ski...,684,479,30,Not available,Not available,Not available,Not available
2201,Fiama Men Shower Gel Deep Clean with Charcoal and Grapefruit,259,181,30,Not available,Not available,Not available,Not available
2202,Azah Rash-free Organic Sanitary Pads (Box of 15 Pads: All XL...,289,260,10,Not available,Not available,Not available,Not available
2203,Nykaa Love Struck Talk All Night Shower Gel + Body Lotion + ...,1597,1198,25,Enjoy Free Gift,Not available,Not available,Not available
2204,Bombae x SUGAR Pre & Post Make up Combo,978,845,14,Enjoy Free Gift,Not available,Not available,Not available
2205,The Body Shop Rich & Creamy Avocado Essentials Gift,2900,2320,20,Not available,Not available,Not available,Not available
2206,"Nykaa Wanderlust Mediterranean Sea Salt Shower, Body Scrub, ...",1499,1124,25,Enjoy Free Gift,Not available,Not available,Not available
2207,Savlon Hexa Advanced Body Wash with Milk Protein,200,100,50,Not available,3 sizes,Not available,Not available
2208,Jeva Fruit Total Nourishment & Ultra Moisturizing Cream,250,150,40,Not available,Not available,Not available,Not available
2209,Tulips Premium Toothpicks Wooden Jar,45,42,7,Not available,Not available,Not available,Not available
2210,Palmolive Orchid & Milk Hand Wash Combo with refill,324,292,10,Not available,Not available,Not available,Not available
2211,Sanfe Reusable Bum Hair Removing Razor for Women,299,275,8,Not available,Not available,Not available,Not available
2212,Layer'r Shot Deep Desire Body Spray,215,183,15,Not available,Not available,Not available,Not available
2213,"iGRiD 3 in 1 women Epilator,Shaver,Callus remover, Three Int...",4499,2199,51,Not available,Not available,Not available,Not available
2214,Dove Eventone Deodorant For Women - Pack Of 2,460,392,15,Not available,Not available,Not available,Not available
2215,Babila Classic Sponge(1 Pieces)- Color May Vary,75,71,5,Not available,Not available,Not available,Not available
2216,Liril Lemon And Tea Tree Oil And Cooling Mint Body Wash Comb...,420,265,37,Not available,Not available,Not available,Not available
2217,Be Bodywise Back Acne Kit - 1% Salicylic Acid Body Wash & 10...,988,899,9,Get Free Product,Not available,Not available,Not available
2218,Nykaa Activated Charcoal Shower Gel + Daily Detox Clay It Co...,949,759,20,Enjoy Free Gift,Not available,Not available,Not available
2219,GUBB Wooden Brush & Pumice Stone,345,259,25,Not available,Not available,Not available,Not available
2220,MCaffeine Balanced Brew Cappuccino Gift Kit - Gift Sets & Co...,1253,939,25,Not available,Not available,Not available,Not available
2221,Pears Pure & Gentle Soap Bars Buy 4 & Get 1 Free,392,368,6,Not available,Not available,Not available,Not available
2222,Merit Vco Extra Virgin Coconut Oil - Pack of 2 (200ml),240,192,20,Not available,Not available,Not available,Not available
2223,Nykaa Hand & Nail Creme Duo,598,478,20,Enjoy Free Gift,Not available,Not available,Not available
2224,The Body Care Blueberry Bathsalt,325,260,20,Not available,Not available,Not available,Not available
2225,Colgate Active Salt & Neem Toothpaste - Pack of 3,330,281,15,Not available,Not available,Not available,Not available
2226,Gentlemen's Crew Deodorant - Sport Addict,399,339,15,Not available,Not available,Not available,Not available
2227,Nat Habit Natural Sun Dried Bath Loofah - Pack of 3,357,268,25,Not available,Not available,Not available,Not available
2228,Oral-B Kids Electric Rechargeable Toothbrush Featuring Star ...,1599,1279,20,Not available,Not available,Not available,Not available
2229,"Nykaa Wanderlust French Lavender Shower Gel, Body Scrub & Ba...",998,798,20,Enjoy Free Gift,Not available,Not available,Not available
2230,Palmolive Natural Sea Minerals Hand Wash Removes 99.9% Germs,Not available,125,Not available,Not available,Not available,Not available,Not available
